code,idc,id,social,rtrial,blocktrial,run,payoff,choice,rt,opchoice,opponent,blank,missing,onset_choice,onset_feedback,onset_response,ctrial,ctrial2,trial,opswitch
101,101,1,0,71,10,2,1,1,0.326,1,0,0,0,668.723,675.829,669049,67,64,143,0
101,101,1,0,72,11,2,1,1,0.297,1,0,0,0,681.703,685.976,682000,68,65,144,0
101,101,1,0,73,12,2,1,0,0.29,0,0,0,0,689.977,694.127,690267,69,66,145,0
101,101,1,0,74,13,2,1,0,0.306,0,0,0,0,700.688,705.02,700994,70,67,146,0
101,101,1,0,75,14,2,1,1,0.397,1,0,0,0,711.44,714.497,711837,71,68,147,0
101,101,1,0,76,15,2,1,1,0.368,1,0,0,0,718.538,723.258,718906,72,69,148,0
101,101,1,0,77,16,2,1,0,0.474,0,0,0,0,731.962,735.411,732436,73,70,149,0
101,101,1,0,78,17,2,1,0,0.579,0,0,0,0,738.264,742.981,738843,74,71,150,0
101,101,1,0,79,18,2,0,1,0.46,0,0,0,0,746.857,751.078,747317,75,72,151,0
101,101,1,0,80,19,2,0,0,0.389,1,0,0,0,756.719,763.552,757108,76,73,152,0
101,101,1,0,1,0,3,-2,-2,NaN,-1,1,1,0,5.267,0,NaN,0,0,0,1
101,101,1,0,2,1,3,0,0,0.542,1,1,0,0,21.519,24.671,22061,77,76,153,1
101,101,1,0,3,2,3,0,0,0.347,1,1,0,0,29.546,33.532,29893,78,77,154,1
101,101,1,0,4,3,3,1,1,0.244,1,1,0,0,38.771,44.141,39015,79,78,155,1
101,101,1,0,5,4,3,0,1,0.243,0,1,0,0,48.34,52.719,48583,80,79,156,1
101,101,1,0,6,5,3,1,0,0.327,0,1,0,0,57.277,61.751,57604,81,80,157,1
101,101,1,0,7,6,3,1,0,0.335,0,1,0,0,65.204,72.313,65539,82,81,158,1
101,101,1,0,8,7,3,1,1,0.282,1,1,0,0,77.382,84.524,77664,83,82,159,1
101,101,1,0,9,8,3,0,1,0.334,0,1,0,0,87.801,91.338,88135,84,83,160,1
101,101,1,0,10,9,3,1,0,0.433,0,1,0,0,100.693,104.297,101126,85,84,161,1
101,101,1,0,11,10,3,0,0,0.406,1,1,0,0,107.979,113.236,108385,86,85,162,1
101,101,1,0,12,11,3,1,1,0.635,1,1,0,0,118.599,124.074,119234,87,86,163,1
101,101,1,0,13,12,3,0,1,1.25,0,1,0,0,127.526,133.711,128776,88,87,164,1
101,101,1,0,14,13,3,0,1,0.479,0,1,0,0,136.411,142.706,136890,89,88,165,1
101,101,1,0,15,14,3,0,1,0.331,0,1,0,0,147.758,153.738,148089,90,89,166,1
101,101,1,0,16,15,3,0,1,1.104,0,1,0,0,159.015,162.673,160119,91,90,167,1
101,101,1,0,17,16,3,1,0,0.255,0,1,0,0,167.608,172.778,167863,92,91,168,1
101,101,1,0,18,17,3,1,0,0.302,0,1,0,0,179.23,182.633,179532,93,92,169,1
101,101,1,0,19,18,3,0,0,0.281,1,1,0,0,187.793,195.897,188074,94,93,170,1
101,101,1,0,20,19,3,1,1,0.765,1,1,0,0,200.159,206.394,200924,95,94,171,1
101,101,1,0,21,0,3,-2,-2,NaN,-1,0,1,0,212.934,0,NaN,0,0,0,0
101,101,1,0,22,1,3,1,1,0.406,1,0,0,0,224.392,230.179,224798,77,74,172,0
101,101,1,0,23,2,3,1,0,0.383,0,0,0,0,234.207,237.624,234590,78,75,173,0
101,101,1,0,24,3,3,1,0,0.329,0,0,0,0,242.279,248.43,242608,79,76,174,0
101,101,1,0,25,4,3,1,1,0.27,1,0,0,0,253.382,256.63,253652,80,77,175,0
101,101,1,0,26,5,3,1,1,0.282,1,0,0,0,262.74,268.766,263022,81,78,176,0
101,101,1,0,27,6,3,1,0,0.328,0,0,0,0,273.1,276.864,273428,82,79,177,0
101,101,1,0,28,7,3,1,0,0.854,0,0,0,0,282.075,288.921,282929,83,80,178,0
101,101,1,0,29,8,3,1,1,0.44,1,0,0,0,294.335,298.086,294775,84,81,179,0
101,101,1,0,30,9,3,1,1,0.462,1,0,0,0,304.099,309.333,304561,85,82,180,0
101,101,1,0,31,10,3,1,0,0.406,0,0,0,0,317.839,323.089,318245,86,83,181,0
101,101,1,0,32,11,3,0,0,0.473,1,0,0,0,326.168,331.514,326641,87,84,182,0
