code,idc,id,social,rtrial,blocktrial,run,payoff,choice,rt,opchoice,opponent,blank,missing
101,101,1,0,10,9,3,1,0,0.433,0,1,0,0
101,101,1,0,11,10,3,0,0,0.406,1,1,0,0
101,101,1,0,12,11,3,1,1,0.635,1,1,0,0
101,101,1,0,13,12,3,0,1,1.25,0,1,0,0
101,101,1,0,14,13,3,0,1,0.479,0,1,0,0
101,101,1,0,15,14,3,0,1,0.331,0,1,0,0
101,101,1,0,16,15,3,0,1,1.104,0,1,0,0
101,101,1,0,17,16,3,1,0,0.255,0,1,0,0
101,101,1,0,18,17,3,1,0,0.302,0,1,0,0
101,101,1,0,19,18,3,0,0,0.281,1,1,0,0
101,101,1,0,20,19,3,1,1,0.765,1,1,0,0
101,101,1,0,21,0,3,-2,-2,NaN,-1,0,1,0
101,101,1,0,22,1,3,1,1,0.406,1,0,0,0
101,101,1,0,23,2,3,1,0,0.383,0,0,0,0
101,101,1,0,24,3,3,1,0,0.329,0,0,0,0
101,101,1,0,25,4,3,1,1,0.27,1,0,0,0
101,101,1,0,26,5,3,1,1,0.282,1,0,0,0
101,101,1,0,27,6,3,1,0,0.328,0,0,0,0
101,101,1,0,28,7,3,1,0,0.854,0,0,0,0
101,101,1,0,29,8,3,1,1,0.44,1,0,0,0
101,101,1,0,30,9,3,1,1,0.462,1,0,0,0
101,101,1,0,31,10,3,1,0,0.406,0,0,0,0
101,101,1,0,32,11,3,0,0,0.473,1,0,0,0
101,101,1,0,33,12,3,1,1,-0.607,1,0,0,0
101,101,1,0,34,13,3,0,0,0.306,1,0,0,0
101,101,1,0,35,14,3,0,1,0.335,0,0,0,0
101,101,1,0,36,15,3,1,0,0.293,0,0,0,0
101,101,1,0,37,16,3,0,0,0.354,1,0,0,0
101,101,1,0,38,17,3,1,1,0.302,1,0,0,0
101,101,1,0,39,18,3,0,1,0.865,0,0,0,0
101,101,1,0,40,19,3,0,0,0.324,1,0,0,0
101,101,1,0,41,0,3,-2,-2,NaN,-1,1,1,0
101,101,1,0,42,1,3,1,1,0.561,1,1,0,0
101,101,1,0,43,2,3,1,0,0.283,0,1,0,0
101,101,1,0,44,3,3,1,1,0.322,1,1,0,0
101,101,1,0,45,4,3,1,1,0.339,1,1,0,0
101,101,1,0,46,5,3,0,1,0.605,0,1,0,0
101,101,1,0,47,6,3,1,0,0.34,0,1,0,0
101,101,1,0,48,7,3,1,0,0.303,0,1,0,0
101,101,1,0,49,8,3,0,0,0.377,1,1,0,0
101,101,1,0,50,9,3,0,0,0.303,1,1,0,0
101,101,1,0,51,10,3,0,0,0.453,1,1,0,0
101,101,1,0,52,11,3,1,1,0.245,1,1,0,0
101,101,1,0,53,12,3,1,1,0.384,1,1,0,0
101,101,1,0,54,13,3,0,1,0.579,0,1,0,0
101,101,1,0,55,14,3,1,0,0.652,0,1,0,0
101,101,1,0,56,15,3,1,0,0.314,0,1,0,0
101,101,1,0,57,16,3,0,0,0.337,1,1,0,0
101,101,1,0,58,17,3,1,1,0.272,1,1,0,0
101,101,1,0,59,18,3,1,1,0.321,1,1,0,0
101,101,1,0,60,19,3,0,1,0.474,0,1,0,0
101,101,1,0,61,0,3,-2,-2,NaN,-1,0,1,0
101,101,1,0,62,1,3,0,0,0.52,1,0,0,0
101,101,1,0,63,2,3,0,0,0.327,1,0,0,0
101,101,1,0,64,3,3,0,1,0.29,0,0,0,0
101,101,1,0,65,4,3,0,0,0.386,1,0,0,0
101,101,1,0,66,5,3,0,1,0.286,0,0,0,0
101,101,1,0,67,6,3,1,0,0.756,0,0,0,0
101,101,1,0,68,7,3,0,0,0.706,1,0,0,0
101,101,1,0,69,8,3,1,1,0.317,1,0,0,0
101,101,1,0,70,9,3,0,0,0.274,1,0,0,0
101,101,1,0,71,10,3,1,1,0.42,1,0,0,0
101,101,1,0,72,11,3,1,0,0.248,0,0,0,0
