"","idrun","id","run","social","PR.WS","PR.LS","PR.WL","PR.LL","dmPFC.WS","dmPFC.LS","dmPFC.WL","dmPFC.LL","lTPJ.WS","lTPJ.LS","lTPJ.WL","lTPJ.LL","lTP.WS","lTP.LS","lTP.WL","lTP.LL","nAc.WS","nAc.LS","nAc.WL","nAc.LL","rTPJ.WS","rTPJ.LS","rTPJ.WL","rTPJ.LL","rTP.WS","rTP.LS","rTP.WL","rTP.LL","vmPFC.WS","vmPFC.LS","vmPFC.WL","vmPFC.LL"
"27",10003,10,3,"non-social",-0.486886290093111,-1.29659562231337,-0.581348771704089,-2.09332729016805,-0.904481226363661,-2.70198002280088,-0.267485993357127,-2.51483222483456,-0.928226150949063,-2.49479286133172,-0.0959378403006645,-2.34167348484656,-0.57050487488171,-2.20268264149639,-0.418822603337822,-1.40557769011438,1.08540433117089,-2.14141999267109,0.968382951643121,-0.873740963818231,-0.530426077138545,-2.44147863854652,-0.690828919487389,-2.70007335048946,0.422409382618271,-1.77981469456549,-0.32793282033846,-0.733509939716927,-0.432705101593493,-2.1268590340064,-0.885377684710749,-1.66926887215779
"28",11001,11,1,"non-social",-0.960955255301897,-0.242878325810411,1.39008111389574,0.500394433363155,-0.72343648822997,-0.918295871361029,-0.344041807260851,-0.753964687249699,0.63470100042822,0.356696673666095,0.820165862707159,1.13547958159375,-0.293126955614287,-0.660776109534272,0.817894222687187,1.40288813863162,0.550356026960583,0.74599707770816,2.87973991895123,1.14356891563608,-1.03812810677359,0.690980960158433,0.907943143421661,0.440371863555568,-0.289878972590411,-0.149721600924299,0.932693779155454,1.02927877195673,-0.576540517335162,-1.28974863601883,0.935585143636594,-0.299391872385977
"29",11002,11,2,"non-social",-0.39497141925686,-1.10585891285588,0.692159545692555,-0.156325941204161,-0.585804087322702,-0.143755814512212,-1.36807888768073,-1.8768753734286,-0.591163080919606,0.244288811741374,0.384579087753354,-0.308990014353352,-0.935278074451391,0.279783518029804,-1.53216455152931,-1.7690658385175,1.83522128137468,1.10147652585932,1.92614139350585,-0.0272207150410872,0.328018168518847,1.0835561048396,0.126896197891682,0.400579393655703,-0.176283119077002,0.721467398428604,-1.27935785668913,-1.1949339709652,-0.75034764505031,-1.40475171113786,-2.45230575209456,-3.15272960697008
"30",11003,11,3,"non-social",1.03559709597063,0.536542545505228,0.135438299552491,-1.20587871172914,-1.59282252868451,-0.328403714401468,-0.888103441249523,-1.74450477521443,0.44673133156201,0.852998996846065,0.135303357066034,-1.03245138108653,-0.415648379644551,-0.15104605792078,-0.760823900877759,-1.69793643489887,2.46040483297993,0.418418763444944,1.37552056612995,-0.314211020787567,0.711018105113023,1.99034583627451,0.31344464224019,0.819906889311196,-0.0893241078045328,0.493266067429612,-0.651312468840074,-1.0542212321691,-0.50012361883039,-2.10206532051197,-1.40561594729032,-2.15395771942335
"31",12001,12,1,"non-social",0.313547444898423,-0.458264428876599,0.363458545390106,0.0689157113083029,-1.04279151304946,-0.876238555496027,-0.811694170624969,-0.301268929358077,-1.56577603706058,-1.19890489380127,-0.732391843307495,-0.276901853477852,-0.241741491085775,0.0694793787122357,0.190625374513485,0.651002950280679,1.21747513596,0.476872446724563,0.808505505841624,0.333729145619924,-0.182977907950884,-0.211345158121691,0.288675058827519,0.0942452811104257,-0.414109399327819,-0.00143476165847101,0.537223594780807,0.947873690777574,-1.13198573520077,-1.73370664485455,-0.825392625307376,-0.671835402659285
"32",12002,12,2,"non-social",-1.31862649086447,-0.462432208933799,0.913740110464113,0.158036766261098,-0.625696089871646,-0.633327991159992,-0.276532630677089,-0.719560009132765,-0.900153019821914,-0.780771123873272,-0.724281377402559,-1.24165089654316,-0.575253796143589,-0.763286605887413,-0.867881531443473,-0.583021555944242,0.7280445577632,0.0170514739705356,0.592757966344849,-0.587467306089241,-0.250240422819858,-0.382608630462711,0.135734716410816,-0.350423672766542,-0.69076033514415,-0.740259362840792,-0.495517598987799,0.00701175881758835,-0.847408082189064,-1.38086062720646,-0.12773976616842,-0.869569201140608
"33",12003,12,3,"non-social",0.0261058722075305,0.238853488199382,1.4059522473575,0.849670367051468,-0.186925241023818,-1.03871646958576,0.281688350085403,-0.319726130495487,-0.816952821381307,-1.36121154992185,0.0702094914532916,-0.763723036172366,0.177029696578636,0.062435232802418,0.769337947098924,-0.17143268308882,1.07825769132742,1.28804530514473,1.30911531101551,0.362461106238799,-0.070673933569779,-0.340710758364381,0.174652942045928,-0.567660835507587,0.379912995281362,0.0499340999353564,0.548756483937096,-0.187444469418385,0.151793387051864,-0.808384139961316,0.270124398185042,-0.650814972660495
"34",13001,13,1,"non-social",-0.190170548167551,-1.29067211955027,0.650873749183558,-1.65483064559287,0.315014000118284,-1.8319564847591,0.979092985500011,-0.694722992530461,0.289015091653588,-0.0174147770523443,0.913639303347144,-0.383280583964631,0.193117948287013,-0.530637336761882,0.309073146336233,-0.211445071743743,0.208018986553392,-0.683096020719641,1.28866109742877,-0.158361512172474,0.386637518877536,-0.739325161408407,1.85544652666668,-0.126687159169581,0.244830316480519,-0.310704865453489,0.22155850011967,-0.331170691924301,0.166130936882074,-0.229012488120607,-0.284710327148839,0.53808031573434
"35",13002,13,2,"non-social",0.0798472679981643,-1.08376589434735,1.09092617825378,-0.694111226354794,0.459668968523661,-0.697049767410823,1.32936009411934,-1.14956246181929,0.811741580043372,0.323469495483339,0.25842707336566,-0.0167371840104795,-0.0392036692097026,-0.276915544612218,0.36765779690112,0.169175969150018,0.797595025430142,0.89844118392842,0.0973732567147619,0.025959625115733,1.22608724441544,-0.143422064467133,-0.162780439682221,0.284321043512645,0.273807523649414,0.03106952734631,0.409412697269667,-0.13153955184934,-1.03253978175826,-1.40002314175912,0.617232824828675,-1.07689412069673
"36",13003,13,3,"non-social",1.17007482420412,1.37493482595016,-0.349625288777572,1.0662522695227,0.234864378994592,0.745101456686921,1.93004620556694,0.452114671128719,1.36277739945196,1.43444317025977,1.37303160076135,1.04451187288441,0.421533019660391,1.09798900292295,0.939347622082257,0.711582642508646,1.04581208812076,0.362587420870067,1.53393539167129,1.59193372913919,0.62201031414814,1.00547320172323,1.11998198702171,1.61217429200813,0.479206284092175,0.672182294060216,1.02493688160642,0.988025062290464,0.24586019593621,0.434936206081922,1.22353439071234,0.446178941981343
"37",14001,14,1,"non-social",-1.13614544601721,-0.299742130185395,-0.446726213946416,-3.03252576437733,-1.34526065209263,-0.826503985940341,0.631236043521882,-0.839285098451844,-1.44770792495214,-0.783915978937002,0.654459482617121,-0.416419094781417,-0.723499035399677,-1.06098223880417,0.921341998930051,-0.86529416786627,2.45384733370648,0.0962422838741833,1.64924512461843,-0.838146009106923,-0.656455352207027,-0.225753188868853,1.84522361394893,1.22044862916708,0.189378555407201,0.0223593643379105,0.521686904006468,0.0211760598740514,-1.7310221238254,-0.274852873983103,-0.235885958128356,-1.18035056000194
"38",14002,14,2,"non-social",-0.820045407265543,0.241324266006943,-0.65293275071483,-0.781985007184038,1.7118014880024,1.53114239965293,0.083847373759037,1.04735873006245,0.0214409247231008,-0.825332298409893,-1.16620744483335,0.273741721106382,0.354616015460297,-1.18656536058406,0.171808643115043,-0.874440817691821,1.79633554644088,0.448318971765643,0.631812471038702,-2.45703761599764,1.68258170224783,0.76589489403557,-0.146198898815207,2.87987902815018,1.21704500610418,0.236931677926213,-0.851442971974819,0.788523646732578,-1.01955949228446,-2.53259293326001,-1.39319975525033,-1.6217933749379
"39",14003,14,3,"non-social",0.249149551787999,-2.7080320764976,0.332056402167608,-0.422421239286635,1.11882980031675,-2.28100063656322,3.43051934436566,4.55643057469262,1.60020436364789,-1.01764553009397,1.85939033057839,1.26740737001634,0.715459883759634,-1.86933355198509,2.4784408384849,2.82794879345073,0.285526971396001,-1.62652110005125,1.47090838913761,2.18069789873062,1.87070395060393,-1.53874015992803,2.26587739452904,2.14552025649766,1.56564094079729,0.0409116763681467,0.933057512758015,1.34230210047865,-1.5168473790153,-2.79832351683051,0.269176914574567,0.688930308142437
"40",15001,15,1,"non-social",-0.0876006018389258,0.669686936227882,0.531226612633563,-0.395935730736485,0.510727701741543,-0.0738841692994782,0.447033830105188,-0.223368746435199,-0.242430799612673,0.829266811647246,1.05252316156784,-0.231394863534077,-0.375924686199591,0.150162317014073,0.646577345296268,-0.203703237453769,2.05472875190785,0.637798487753543,1.49537186407396,-0.228682818235077,0.420890754821243,1.33761660087228,1.78012905681615,0.873483169790226,-0.0965752647596767,0.718693655760999,1.16349542799045,0.901694311511578,-0.562986964535252,-0.263522237257075,0.715882767164425,0.628439344788955
"41",15002,15,2,"non-social",0.483259856937617,0.190137053535305,0.218599767552415,-0.13600354298622,-0.0787430611338069,-0.999654141319783,-0.623525055249388,-1.38798977229825,0.464991944483141,1.31710443037999,-0.165305822113781,0.301139581224124,0.0062592761629084,-0.654448987429008,-0.652250172366449,-1.26598788676295,1.51523996351604,1.04825660675217,0.493877295751772,-0.381054137365399,0.964716327587458,0.0305065813904201,0.361563314427331,0.842413530263813,0.408472450407824,0.565670085756741,-0.506810960942756,-0.507493749255458,0.0735833656898252,-0.267402048268332,-1.12736544996748,-1.83644171115479
"42",15003,15,3,"non-social",-0.233539466719527,0.0420233952893838,0.208305968231956,-0.918558676657504,-1.16064886141979,-1.38927208101836,-0.643022827805115,-0.797971145562017,0.098662002701694,1.09786099859159,0.32413304433464,-0.576693196603413,-0.539974380729896,0.110761250673736,-0.457137767804736,-1.2662537719982,0.696099811468958,0.209241363003127,1.37852748977718,0.204531351137946,-0.058172949774665,1.07032065699835,0.48115571039744,0.511251157999582,-0.39827406582708,0.0271095180363474,0.356587270844531,-0.319599733427607,-0.93924562076924,-0.769872130859152,-1.45429592606913,-1.56928486698512
"43",17001,17,1,"non-social",-0.44435637484326,-1.37657311898484,0.157650324421184,0.674405161182672,0.482169423463599,-0.612544732641027,0.214863171711723,1.08775802116526,-0.675386000532766,-0.886324531930407,-0.252404818017339,0.450349979126679,-0.064144930743641,-0.489111035163542,0.607794266301714,1.33882232984638,1.06373851535805,0.76348628893807,1.60205526059028,1.17933388154352,-0.565203036672788,-1.06797192048593,0.17476495427977,1.31398868326707,-0.192361673328813,-0.11368312398827,1.03964998322416,1.41399350451759,-0.898909090794214,-1.1018175909638,0.368339139670699,0.750995947372073
"44",17002,17,2,"non-social",-0.221734853892996,1.27396171546747,-0.471587843397982,-0.703213295894132,0.782006698627766,1.23044121007179,0.436160554639993,-1.32736735310462,-0.199063698440692,0.951499568649486,-0.269609659525335,0.161818250589374,0.335903288033144,0.45628893437871,-0.307573887592099,-0.254517306079659,0.809815533269967,0.517970425699696,1.89483354775591,0.282101874066026,-0.0416122441986473,1.60874539757243,0.598906934376663,-0.633765122952932,0.129107937439024,0.216310189116184,0.32869396114663,0.400050041088663,0.731627426249418,0.097070837235052,0.0501883120291218,-0.444537145865866
"45",17003,17,3,"non-social",2.00155862747634,-0.474883731307866,-0.0340017062335676,-0.742342895386783,1.51840351370242,-0.00155390503599406,-0.108129442849313,-0.177243451959937,1.22743618734861,-0.0598158998651499,0.443948102258397,-0.244871498441377,1.70959849797515,-0.0373036215112492,0.237470429348714,-0.434411298305821,1.66668324470879,0.27397041235216,1.09344510076949,0.198086677970607,2.22631067772529,0.256560431592391,0.00937948865973892,0.0522082616416921,0.65320450574443,-0.475510901944553,0.145397538187876,-0.42214373220471,0.78164515799795,-0.633828032466322,-0.70004730943795,-0.869966749955657
